competitor_place_id,competitor_name,included,exclusion_reason
ChIJV_9x3hVnXz4RmggBaLjn128,V9 Thai Wellness & Spa,True,
ChIJH1Po2mRhXz4Rrn6wwj3XfRM,Massage Service,True,
ChIJg382UOJFXj4RjkrTqZMbCIw,Hala Spa,True,
ChIJR5sguG1DXj4R1QsghcelhSA,Tara spa,True,
ChIJgYXJnGVDXj4Rpsp_KC9cIIY,MERAG SPA,True,
ChIJKZAkpkhfXz4RGaeW31E9WkY,Al mahra spa المهرة سبا للتجميل,True,
ChIJx7zVStA5Xj4RUjNVssIsebo,Massage Heaven VIP Shabiya,True,
ChIJy06r3PNFXj4RK3wK2NZkGJc,eforea spa,True,
ChIJaS1n9Do3Xj4RNzenzLcsyxI,OLD SHABANA Ladies Salon - Shabana Lounge Beauty and Spa - MAIN,True,
ChIJFSiltltX9D4Rf1ZgCDoKytw,Uptown Spa Massage in Fujairah,True,
ChIJC19mX843Xj4ReUzjGV_htWc,مركز تايم آوت سبا للرجال Time Out Spa,False,MEN_OR_BARBER
ChIJZ9hrtuhRXj4RmDgNcCo21dQ,V Elements Spa -Emirates Park Zoo & Resorts,True,
ChIJSz5imk1fXz4RzGkXLDuEm8E,** SPA OLYMPIA ** سبا اولمبيا **,True,
ChIJ80qR6S1HXj4Rnorlpsjhb-8,Doral Spa - Luxurious Massage Center in Al Forsan,True,
ChIJi6-GBvNDXj4RMSaNKiot2eI,Queen Angela Spa,True,
ChIJL1v2CGhnXj4Rh-n6AbWCGBM,SPARKLE MASSAGE SPA CENTER IN ABU DHABI | Best massage center abu dhabi,True,
ChIJf5dFRgBnXj4RprIV0NTpKe8,EliteSun Oasis LTD,True,
ChIJs3whUQt39j4RU4UJRToo0hw,"Mangrove Spa And Massage, Ras Al Khaimah",True,
ChIJewESz9c3Xj4RAIgOAtJjRMc,Sunshine Wellness Man SPA,True,
ChIJEd0stQff9T4RzvRvx2HLZRw,AL DAR SPA & MASSAGE,True,
ChIJzd7czjZLXj4R3VEfa75yFBw,Lavender Home Massage for Women,True,
ChIJJeWpYro5Xj4RihyklyD-wko,Vinca Spa,True,
ChIJB9DMvXVhXz4RkKdiEEL1Hkk,东方神韵SPA会所,True,
ChIJaZLIe45pXj4RLBlKFe7qm3Q,NNS Spa - Abudhabi,True,
ChIJNSqTl7BdXz4Rg6R1y6XGvkc,Sehr Al Jamal Vip Spa Massage,True,
ChIJBRNYNI919j4RcGizRML_4tM,Horayzn Spa,True,
ChIJJbDTold19j4RAniAoY_1UGw,Al Masaya Spa,True,
ChIJtViQHFRDXj4RlavCqK3Q1xI,Diivana Massage,True,
ChIJo4LMTXxFXj4R5iCfrp3S2BQ,Therapists.ae - Home Service Massage,True,
ChIJI68O-Qp19j4RXZsn_QM_FFQ,AL ANEEQ SPA,True,
ChIJqyZ19uATXz4RYCATcv32vsY,Outlook Spa and Salon,True,
ChIJsXw0-VxFXj4RMBAkO7f1fCU,UMI SPA,True,
ChIJHeqzTol19j4RfP9CjgWGMbg,Cleopatra spa,True,
ChIJ6U43YAU5Xj4RP26k2MzGUlQ,Massage & Spa Relaxing Mussafah Shabiya,True,
ChIJGUQIDLI0wa8RKtaAIfAmL_0,Al Zafaran Spa,True,
ChIJ06heVr9pXj4RA1W6DzVfZtE,Aura Mens Wellness Spa in Abu Dhabi,False,MEN_OR_BARBER
ChIJzfJSb9JhXz4RRtPl-KkMHMA,Mamounia Palace Spa,True,
ChIJQyxNZ99dXz4RACcmo7HgNyk,Royal Spa - مساج عربي,True,
ChIJ0Z8NHe1hXz4RFMG8HBqBflk,Labella Spa ＆ Mirdif,True,
ChIJRZEwDolDXj4Rqw4iMnTm9TY,Optimyze Health & Fitness Boutique,False,FITNESS_OR_SPORTS
ChIJuyXYFXhHXj4Rp8DCLtEcqgo,Solly Man Salon & SPA For Man,True,
ChIJQZWeckR19j4RDmRIC5dSA3Y,DIAMOND SPA massage centre in RAS Al khaimah,True,
ChIJX7eLH1f59D4Remps2wbxm6s,Jasmine Spa,True,
ChIJiR3zySttXz4ROXOEbag1FJw,Blue Personal Care Spa Massage,True,
ChIJwVYEFgdPXj4RcoSuSiZWLZE,OZ MEN Al Shahama,False,MEN_OR_BARBER
ChIJffGMsUFnXz4RIx4O02dFhGI,spa,True,
ChIJx5_ERCppXj4RW2jFEvDfvPc,Sensation Spa at Metropolitan Al Mafraq Hotel,True,
ChIJZZtgFcH59D4RtEFfN2BF-mM,al razi center for massage,True,
ChIJoxRgnkg3Xj4RIGkHLMuWTCU,كاندل سبا,True,
ChIJq488GgD59D4REZzD3jKoQIc,Ozone Spa & Massage,True,
ChIJvyyV2wRFXj4R_PuWM8M6Joc,The Spa,True,
ChIJAVs5Tluxij4Rr9CuPi7hmPI,Lunar wellness spa,True,
ChIJBbkGH-v59D4RHwvOA3iXsgA,M Spa,True,
ChIJQ9K7uAM5Xj4RL8Xhlf04CL4,Massage & spa vip musaffah,True,
ChIJeYynDbFnXz4RgNMo99XCM2k,神韵足道SPA洗浴桑拿中心,True,
ChIJ4eLkyhb59D4RXu-vHdR8eRc,Thai Spa & Massage,True,
ChIJUQ7hes9HXj4RyvJQNc5ZEzs,L And Y Salon And SPA For Man,True,
ChIJgY3UuVP59D4RWvJpHRBeqBs,Pure Diamond European Spa,True,
ChIJk0UrfHFDXj4R6zRoN3Bg8G4,Olivia massage spa,True,
ChIJgWJT_Pqtij4RZQmHlcShzKc,إليجانت بيوتي لونج للسيدات,True,
ChIJHytneGtPXj4Rw0VlNFnumxE,Al taj Al masi saloon and spa 2.0,True,
ChIJw2ROZ1VnZz4REWkCf88RV64,RAWAA CENTER FOR MEN CARE,False,MEN_OR_BARBER
ChIJ36ch5KP59D4RplSmOmPDCi0,Sun Flower VIP Spa Massage Fujairah,True,
ChIJa6J2VrP59D4Rh5pKU_28loI,Vu Beo Spa Massage Fujairah,True,
ChIJj_uVRRiuij4RQm0_-G-v1tg,Tmkn fitness,True,
ChIJTZrbp2VPXj4RS7niAstPRgU,Taj Best Gents Salon Spa,False,MEN_OR_BARBER
ChIJC_38PgA3Xj4RtHKXGietAtY,Vera Lux Beauty Salon صالون فيرا لتجميل السيدات,True,
ChIJRVfe0oU3Xj4RmUK5bJ_JXds,صالون عهود حنا,True,
ChIJxxnigx03Xj4RSldGUBcB664,Golden Lotus Spa - Baniyas Plaza Hotel,True,
ChIJ8Vao1ORBXj4RdpI_1i68qzU,Bella spa,True,
ChIJRaP1YAD59D4RmfdcemfO3QI,Dream Spa Massage,True,
ChIJ81LKm5t39j4RV92IOuobFos,La vita spa,True,
ChIJC6Xy06f59D4RmjUxAkjujDU,Gianna,True,
ChIJ945rcwBFXj4RkED4A0Sq8Fs,The Massage Taiwan Luxuryy,True,
ChIJ9bk34nX59D4RBYRXy7npcO4,Massage Center & Spa Fujairah,True,
ChIJS_3ToSOvij4Rf1Kgjs1h-4I,Reflection Spa & Saloon franz,True,
ChIJezaQQwBBXj4R8W4UeHe3dXo,Massage Relax Elite Beauty,True,
ChIJJeEfBQBnXj4Rvh_7We3A1uY,Massage Singapore relax royal CX,True,
ChIJbdFPcgBPXj4RDYBTLyeUt1s,Massage Taiwan Hugo tina,True,
ChIJoyHVcaJPXj4RaHmPfCFqk5w,saloon and spa,True,
ChIJ-WtpUkI5Xj4RqlQNsMhAF1k,Massage for men in Abudhabi,False,MEN_OR_BARBER
ChIJ1yhEvWRnZz4Rzd6GUbkGyk0,Trianon Luxury spa,True,
ChIJF7iW8qlPXj4RnskxdaHpXic,Faction Gents Salon,False,MEN_OR_BARBER
ChIJTRn6LBD5e0cRFFDf0XSnj_o,Helen - Home Massage,True,
ChIJS-70CX9PXj4RnSOXsNBeSnU,Joyce exclusive vip massage spa,True,
ChIJOWstIIc5Xj4RsZnNuhAC5VU,Massage Taiwan SVIP Relax Mia,True,
ChIJdYcPIiA3Xj4R_ESwePZVZtI,Prestige Palace Massage Spa,True,
ChIJxaeFdgA3Xj4RZzOvlvGfAds,Spa Baniyas Home Service,True,
ChIJmTtcTABnZz4Rj481GdWv2PI,Unique Spa,True,
ChIJzcPxGclFXj4RgilnBM_Dex0,Dolly massage spa,True,
ChIJceRKVNxnZz4RXiuH3Tnnv6Q,Hana massage spa,True,
ChIJvTrBHgA1Xj4ReO_eneusAaw,Home Massage Sense Luxurion,True,
ChIJzQADgQ-zij4R4zEDCBluHu8,Kristal beauty salon,True,
ChIJSxjx45NLXj4RUBGt4U3BzPY,Lucky massage spa,True,
ChIJY0VC2YY3Xj4R6IxzHw9HKIo,Mari massage spa,True,
ChIJ2TsjEQBFXj4Rb-4efjHOfG4,Massage At Home South Thun Holidays,True,
ChIJeeAdRABFXj4Rzvb-S7eVHy8,Massage Haven of Rest Enjoy,True,
ChIJFcYkWQBFXj4RETEuxejhGuk,Massage Hinther good service,True,
ChIJcyujQQVFXj4RLUiC5VInFO8,Massage PvD European Relaxing SUS,True,
ChIJt0-oE3ZDXj4RR1OqoJZWcA8,Massage Relax Abu Dhabi Spa,True,
ChIJqcJ2AyFpXj4RChpVopwphFs,Massage Vip,True,
ChIJH24wKv1RXj4RvSYUszn_Y_A,Sonic Spa,True,
ChIJUfLkSQA3Xj4RrgHZJwapQf4,The Massage Relax Body Renewal,True,
ChIJr4V2Aik3Xj4RIFoc6EUP4bk,Tripping spa,True,
ChIJbcYQ9zBPXj4Rj2jqhkS8_V8,Zenora massage spa,True,
ChIJSczn7OhDXz4Rx15psO4LBMc,Ivy Beauty & Bubbles Sheraton Grand Dubai,True,
ChIJj7jMk9dpXz4RpgWmZysF8Mk,Adelya Beauty Salon,True,
ChIJ9T8C6XNrXz4RDO9vYzP1lF8,BellaViso Medical Center,False,MEDICAL
ChIJGRgwhtVnXj4R82xVmTlqjh0,GG Clinics,False,MEDICAL
ChIJ0-w-wVxrXz4RYc37MlYKCbE,Its Beauty Ladies Salon – Internet City,True,
ChIJIfaNTpJpXz4Rf2hAPr4ITJY,Its Beauty Ladies Salon – Business Bay,True,
ChIJZzQyyVFqXz4RIHidgDF01FA,BROWZ,True,
ChIJk7BNq4JpXz4R32UzidiqOF8,Ivy Beauty & Bubbles Hub Marquise Square,True,
ChIJVUUMKHhrXz4RZO1u8Ah_C3U,"Ramee Rose Hotel, Dubai",True,
ChIJ_1hWkeezij4R6Gb2Xj-ip2A,Novomed - Al Ain,False,MEDICAL
ChIJkf___KpsXz4RzEhG5B_vU3Y,Novomed - Dubai Marina,False,MEDICAL
ChIJgy_72bZhXz4R2Ai3UayDt7c,Tru Beauty Lounge - Park Centre Mirdif,True,
ChIJn4Z0--9tXz4R3M7UlqV0NIw,Glow And Go Gents Salon,False,MEN_OR_BARBER
ChIJj9Mr4JBDXz4Rv6KTbCsoszY,"Elata Beauty Salon - Jumeirah 3, Dubai",True,
ChIJa0BZuI5CXz4RXLJJBaBxTKY,Beauty Connection Spa LLC,True,
ChIJVYHnt8ZpXz4Ry6O9cWEiyZk,SEVEN Dubai,True,
ChIJI1MU0phHXj4R9Cwmi8huUZY,hair and nail beauty salon,True,
ChIJCaywLhFoXz4R-3ak7Qp1b8k,Chaps and Co - Dubai Design District,False,MEN_OR_BARBER
ChIJzawvhshrXz4RtBj4nBTtqgY,Los Angeles Aesthetic Medical Center,False,MEDICAL
ChIJNekS3hg3Xj4R9DMowP9KzqA,Healthline One Day Surgery Center,False,MEDICAL
ChIJ3YUIZHdZXz4RdqkQQoN5WiM,Sunny Derma,False,MEDICAL
ChIJiVOJcq1sXz4RidwAxLInDxE,Chaps and Co - JLT,False,MEN_OR_BARBER
ChIJx3o07L5rXz4ROX9g1k5On28,Sisters Beauty Lounge Hair Salon - Mall of the Emirates,True,
ChIJt0PRI9VnXz4R6cLfcZ2CQqA,مركز حلا الشام للتجميل - ند الحمر - Hala Al Sham Beauty Center - Nad Al Hamar branch,True,
ChIJEz8EupNPXj4RFbdYFRkXgwU,Mantis Gent's Salon Khalifa City,False,MEN_OR_BARBER
ChIJ8Uc3ZS5hXz4RVamF1VJU_yA,Namys Beauty Lounge Dubai Best Salon for Ladies,True,
ChIJS7h9niphXz4Rj-MRTZZ5FhM,Beauty Room Salon & Spa,True,
ChIJ5zK5CZVDXz4RVnD8Fm9pVk4,CHALK,False,MEN_OR_BARBER
ChIJC-YJFChoXz4Ru7vsBmyQHMg,Sisters Beauty Lounge Hair Salon - Dubai Mall,True,
ChIJlYC-dApmXj4RYtgsq7bRsKI,Alafiya Center for Hamam & Saloon,False,MEN_OR_BARBER
ChIJjwLqLP1FXj4RijrVIwa4Gwo,Silkor Khalifa A Branch Abu Dhabi - مركز سيلكور في خليفة أ‎‎,False,MEDICAL
ChIJ--suGWRlXz4RxJXiRY8kj0s,Ombre Salon DSO,True,
ChIJmbQT5Q9pXz4RTcITLViIWjM,The Salon Dubai | Yin Yang Al Wasl,True,
ChIJN4eOKcBrXz4RiIa0wYTexJo,Seagull Medical Center,False,MEDICAL
ChIJnSNwimRCXz4RFzl5J6yPzDU,N.Bar Nail Spa & Salon City Walk Boulevard,True,
