official_store_id,branch_name,branch_google_place_id,branch_latitude,branch_longitude,competitor_place_id,competitor_name,competitor_tier,straight_line_distance_km,search_radius_km,source,retrieved_at
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJ3R8VfyBrXz4RzQB2VOn8F8w,Reign Beauty Bar Al Barsha,DIRECT,0.8846,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJK1hHUcRrXz4RXEJ4FE4pJN4,SARAS Beauty Lounge,DIRECT,0.8977,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJLRpXYfprXz4RzAMvLGro7sI,Beauty By Bella Salon,DIRECT,0.9772,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJdTfRmEFrXz4RYoHD5ice4Io,Lashes Mona Dubai | lamination | Eyelash Secret Ladies | Secret Home Service | Secret Eyelash | Lash | lash extensions,DIRECT,0.9995,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJgf2fLX9rXz4RuznYevEZZvo,WVL Al Barsha 1,ADJACENT,1.0168,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJZQxNp4BrXz4RGG36xMjuoJI,ILIOS LADIES SALON,DIRECT,1.0316,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJrx2Or8FrXz4RiYWRgp_AiGM,The Iridium Building,DIRECT,1.0399,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJmY-VfQFrXz4RWrOTtGOO7m8,Maxwell No.1 Thai Spa,ADJACENT,1.0473,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJsRrJTT9DXz4RXl0C48wbrzQ,Crystal Hair Extension Al Barsha | صالون كريستال بيع و تركيب الشعرالمستعار البرشاء,DIRECT,1.0557,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJhyULVyxpXz4RDwzQrnFxj0o,Atlantic Pools & Fountains LLC,ADJACENT,1.0588,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJfTMoSYBrXz4RwapdxCXLNSQ,Agatha Kennedy,ADJACENT,1.0786,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJ27knXfVrXz4R2QIGIIqLN7M,Princess House Ladies Beauty Salon Al Barsha,DIRECT,1.0886,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJa4CFpv1rXz4Rb8J-J6i-ArI,Afrina Beauty Club Al Barsha,DIRECT,1.0913,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJRR5KxhRrXz4RmTbtrXcj2hI,Trinity Arabic Spa,ADJACENT,1.0916,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJRQz-OFVdXz4R9NE21yz_Y6E,Vip Relax Katina,ADJACENT,1.1726,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJzRxDlhxodIMRTASUV4JX-9s,Massage in Dubai,ADJACENT,1.1806,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJmXmD0yhrXz4RZLjcBRXnJ6o,Just Pretty Ladies Salon,DIRECT,1.1967,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJ6w4J8b9rXz4RpQdpnlD62AE,Posh Beauty Center,DIRECT,1.2007,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJncM2YABrXz4RgJWKTCNAY4c,Sultana Spa,ADJACENT,1.2343,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJdxeryZRrXz4Rkc4vtQFBFcY,Lavana Spa Al Barsha,ADJACENT,1.2505,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
